#{"t_start": 1589058354.668272, "env_id": null}
r,l,t
-6,7,192.308763
-7,4,192.364263
6,21,192.653735
-3,8,192.759767
8,19,193.04092
5,16,193.262033
7,20,193.545831
-4,7,193.631743
7,20,193.911673
8,19,194.193051
7,20,194.474005
8,19,194.754834
8,19,195.035321
8,19,195.315237
8,19,195.59214
6,17,195.831701
8,19,196.112141
8,19,196.390853
8,19,196.670993
7,20,196.960372
8,19,197.24108
7,20,197.52141
8,19,197.802075
8,19,198.08222
8,19,198.360411
8,19,198.640386
7,18,198.897212
7,18,199.156575
8,19,199.442722
8,19,199.7257
7,20,200.008478
7,18,200.270465
8,19,200.547453
7,20,200.828065
8,19,201.108121
8,19,201.396397
7,20,201.683772
8,19,201.96723
8,19,202.246026
8,19,202.522976
8,19,202.804257
8,19,203.084836
8,19,203.36414
8,19,203.644341
8,19,203.920656
8,19,204.200117
7,18,204.465789
8,19,204.746195
7,20,205.038923
7,20,205.319995
8,19,205.597257
8,19,205.877797
8,19,206.159391
8,19,206.442022
8,19,206.728043
7,20,207.008994
8,19,207.284844
8,19,207.566727
7,18,207.830457
7,20,208.110256
6,19,208.373392
2,19,208.611658
4,21,208.881099
6,19,209.140603
6,19,209.418159
7,18,209.686245
7,18,209.944293
7,18,210.208366
7,18,210.47104
7,18,210.729275
7,18,210.994129
7,18,211.254874
7,18,211.517999
7,18,211.782182
7,18,212.041638
6,19,212.3061
7,18,212.576734
6,17,212.817281
7,18,213.079016
7,18,213.336461
7,18,213.598342
7,18,213.859531
6,19,214.122579
6,19,214.38532
7,18,214.648164
7,18,214.90676
6,19,215.171252
5,20,215.449997
4,21,215.714896
5,20,215.982877
5,18,216.229714
5,20,216.511063
7,18,216.774639
7,18,217.037018
8,19,217.318922
7,18,217.578992
6,19,217.842299
7,18,218.104907
7,18,218.36245
8,19,218.641169
7,18,218.903382
8,19,219.181858
6,21,219.463047
8,19,219.742172
8,19,220.018179
5,22,220.312992
8,19,220.59366
8,19,220.872078
8,19,221.152385
7,20,221.463572
8,19,221.742762
8,19,222.023231
7,20,222.304768
8,19,222.584969
7,20,222.866296
0,11,222.999729
6,21,223.283216
8,19,223.563831
7,20,223.844187
5,22,224.125587
6,21,224.407588
7,20,224.690096
8,19,224.97007
8,19,225.250881
7,20,225.536458
8,19,225.818383
8,19,226.097978
8,19,226.37466
8,19,226.656172
7,20,226.937832
7,20,227.220582
8,19,227.501604
8,19,227.780724
7,20,228.063966
-2,9,228.17853
8,19,228.455538
8,19,228.733897
8,19,229.013412
8,19,229.294646
8,19,229.576228
8,19,229.852453
7,20,230.145956
8,19,230.431481
7,20,230.718572
7,20,231.002799
8,19,231.285891
8,19,231.567959
8,19,231.847291
0,11,231.982248
8,19,232.261448
8,19,232.539657
7,20,232.820642
7,20,233.099705
9,20,233.392506
7,20,233.671674
7,20,233.950967
8,19,234.2317
8,19,234.512353
8,19,234.79179
8,19,235.071483
7,20,235.356674
6,17,235.594854
-5,6,235.667892
2,13,235.838792
7,20,236.118915
8,19,236.401046
3,16,236.609363
-4,11,236.739923
8,19,237.01975
-4,7,237.104687
8,19,237.385063
6,23,237.685693
8,19,237.962045
7,20,238.243049
7,20,238.525539
8,19,238.805767
7,20,239.08594
7,20,239.369371
8,19,239.649018
7,20,239.930319
8,19,240.211354
9,20,240.504551
6,21,240.785373
8,19,241.064364
8,19,241.345703
7,20,241.624973
7,20,241.917398
7,20,242.197196
8,19,242.484398
8,19,242.764466
8,19,243.044646
-3,10,243.168214
7,20,243.449534
8,19,243.734856
8,19,244.015087
8,19,244.290829
7,20,244.572251
6,19,244.840302
8,19,245.119498
8,19,245.400846
8,19,245.679884
8,19,245.955448
8,19,246.235592
8,19,246.518554
1,12,246.676418
7,20,246.958723
8,19,247.239431
8,21,247.534388
9,20,247.82802
8,19,248.107668
6,21,248.38937
8,19,248.670529
6,17,248.911519
7,20,249.190883
8,19,249.467834
8,19,249.751855
8,19,250.031192
8,19,250.312943
8,19,250.593473
8,19,250.867143
8,19,251.147754
8,19,251.429756
8,19,251.717895
8,19,251.995777
6,21,252.297912
7,20,252.578694
8,19,252.857389
8,19,253.133079
7,20,253.414555
8,19,253.695015
8,21,253.991769
8,19,254.273161
8,19,254.555125
9,20,254.850391
7,20,255.130929
9,20,255.428102
9,20,255.728353
8,19,256.00182
6,19,256.27615
7,18,256.537466
6,21,256.819998
9,20,257.116647
9,20,257.410974
7,20,257.705047
9,20,258.000217
6,19,258.255333
8,19,258.537283
9,20,258.832119
-2,9,258.949198
9,20,259.24508
9,20,259.539501
8,21,259.834243
9,20,260.127719
9,20,260.421439
7,22,260.716788
9,20,261.011472
9,20,261.306618
9,20,261.604368
6,23,261.906155
8,21,262.199402
7,20,262.493065
8,21,262.788499
5,16,263.010733
8,19,263.278166
9,20,263.572442
7,22,263.873556
9,20,264.172642
9,20,264.468754
8,21,264.763382
9,20,265.059948
9,20,265.35488
7,22,265.65256
8,19,265.938787
9,20,266.234636
6,17,266.482248
7,20,266.768036
8,19,267.035506
8,21,267.336488
9,20,267.630354
9,20,267.931937
9,20,268.226218
5,16,268.439744
8,21,268.738006
8,21,269.037384
9,20,269.350283
7,18,269.606432
9,20,269.901075
5,22,270.183412
9,20,270.478062
-2,9,270.589405
8,21,270.885511
2,13,271.056669
8,21,271.372549
9,20,271.673417
7,22,271.974129
9,20,272.269944
9,20,272.573878
-5,8,272.676632
7,20,272.963288
8,21,273.258388
8,19,273.545903
9,20,273.840262
-1,14,273.994041
9,20,274.289091
8,21,274.584571
8,21,274.879768
8,21,275.173994
8,19,275.458472
6,23,275.760426
7,22,276.057008
-3,8,276.156281
8,21,276.452569
6,19,276.717461
8,21,277.014698
9,20,277.310302
9,20,277.604715
9,20,277.899373
9,20,278.194196
8,21,278.49349
9,20,278.790595
9,20,279.086364
8,21,279.380749
8,19,279.667155
9,20,279.973948
9,20,280.267383
9,20,280.56196
8,21,280.858216
8,21,281.1586
8,21,281.467043
2,13,281.632768
7,20,281.918616
0,11,282.057737
-1,14,282.234749
9,20,282.529702
7,22,282.829857
8,21,283.127086
8,21,283.421941
9,20,283.717344
9,20,284.011897
9,20,284.30495
9,20,284.600678
9,20,284.905103
9,20,285.199111
8,21,285.507509
1,12,285.666505
9,20,285.962522
8,21,286.259229
8,21,286.559997
8,21,286.854657
8,21,287.153624
8,21,287.449884
8,21,287.745096
8,21,288.040192
9,20,288.333334
9,20,288.628275
7,22,288.929787
1,12,289.082003
9,20,289.377041
9,20,289.674206
8,19,289.953641
8,21,290.257222
-1,10,290.383258
-5,6,290.453987
1,12,290.608576
8,21,290.904762
9,20,291.200138
9,20,291.495568
6,21,291.791227
2,13,291.961937
9,20,292.255654
8,21,292.555671
9,20,292.851429
7,22,293.154691
9,20,293.450575
9,20,293.745789
8,21,294.041533
8,21,294.341561
-7,4,294.389022
7,22,294.698655
8,21,294.996099
-2,11,295.123888
1,12,295.278101
8,21,295.574997
8,19,295.85393
-3,8,295.956575
9,20,296.251888
-7,4,296.303305
2,13,296.471896
8,21,296.770516
9,20,297.06489
8,21,297.359301
2,15,297.546041
-6,5,297.606894
7,22,297.910105
9,20,298.206341
8,21,298.505786
-4,7,298.587517
7,20,298.873071
-1,12,299.015353
7,22,299.314577
9,20,299.612653
9,20,299.907698
9,20,300.202082
9,20,300.498432
9,20,300.794824
7,22,301.101902
8,21,301.399133
8,21,301.7004
7,22,301.996684
9,20,302.291477
7,22,302.599433
9,20,302.892989
7,22,303.193537
9,20,303.489536
9,20,303.786041
8,21,304.082965
9,20,304.375923
9,20,304.673922
9,20,304.970136
8,21,305.265765
9,20,305.562048
9,20,305.857981
6,19,306.128784
7,22,306.424108
8,21,306.73605
7,20,307.030666
8,21,307.326607
7,22,307.623212
9,20,307.91798
9,20,308.212529
8,21,308.507308
8,21,308.807167
9,20,309.100948
8,21,309.396672
8,21,309.692292
-1,10,309.817957
9,20,310.112774
9,20,310.408577
2,13,310.580628
0,15,310.767219
9,20,311.06254
-4,9,311.168958
3,16,311.389693
4,17,311.622392
1,12,311.774389
3,14,311.957498
0,19,312.198978
8,21,312.496224
6,17,312.732008
9,20,313.02827
9,20,313.323394
9,20,313.617912
8,19,313.902145
9,20,314.196725
3,14,314.382353
8,19,314.668012
8,21,314.963193
4,15,315.166682
8,19,315.451829
9,20,315.747825
9,20,316.040943
7,20,316.330247
7,18,316.595074
9,20,316.889011
8,21,317.184624
9,20,317.478824
9,20,317.774029
9,20,318.069906
8,19,318.342065
7,18,318.591667
8,21,318.888522
