#{"t_start": 1589046328.0579042, "env_id": null}
r,l,t
-9,6,47.050596
-11,24,47.233683
-28,32,47.365716
-10,13,47.487474
-11,14,47.586438
-17,10,47.642642
-17,14,47.735107
-22,17,47.817253
-23,32,47.992131
-20,16,48.062532
-22,19,48.1397
-12,15,48.241121
-17,16,48.318991
-19,23,48.45095
-24,29,48.629753
-7,17,48.759354
-23,24,48.905642
-19,18,49.007648
-18,13,49.108695
-16,13,49.193748
-11,18,49.329491
-12,15,49.436658
-15,16,49.521078
-19,22,49.679666
-22,19,49.784091
-15,25,49.969556
-14,13,50.074626
-13,12,50.171708
-17,20,50.281887
-15,12,50.363695
-11,8,50.417159
-17,20,50.557419
-14,13,50.638555
-23,29,50.801481
-21,16,50.897431
-16,17,51.005577
-16,19,51.120509
-11,30,51.350394
-15,25,51.518682
-16,17,51.618717
-14,11,51.693061
-16,21,51.840994
-18,17,51.957036
-11,12,52.044736
-12,5,52.085418
-19,24,52.208576
-27,29,52.356796
-19,25,52.492161
-9,14,52.597675
-16,13,52.673557
-13,16,52.788173
-18,19,52.898819
-11,10,52.963824
-21,28,53.158641
-25,32,53.332023
-9,10,53.41774
-10,21,53.596507
-17,18,53.695809
-13,14,53.781996
-18,17,53.870975
-17,24,54.012601
-16,20,54.143902
-8,13,54.252692
-19,18,54.321872
-16,13,54.388192
-19,25,54.545628
-13,14,54.660639
-12,17,54.790049
-18,15,54.878062
-23,29,55.010743
-10,9,55.085584
-20,19,55.196531
-11,12,55.295068
-10,7,55.347408
-14,13,55.428587
-10,9,55.509448
-12,11,55.59646
-13,14,55.69839
-15,20,55.852726
-19,20,55.981242
-19,24,56.146187
-11,10,56.222231
-18,24,56.422484
-15,22,56.561679
-8,7,56.642672
-12,17,56.764281
-9,12,56.846661
-13,8,56.901529
-13,14,56.988638
-11,14,57.133805
-19,32,57.335171
-12,11,57.42421
-18,17,57.514632
-16,11,57.592489
-16,19,57.78049
-8,10,57.85744
-10,7,57.917424
-12,11,57.993245
-12,11,58.075165
-19,12,58.144262
-11,4,58.184814
-11,17,58.303058
-16,23,58.461931
-6,17,58.612936
-14,17,58.773008
-6,7,58.854755
-15,16,58.957401
-13,10,59.054102
-11,8,59.127328
-11,12,59.202855
-15,10,59.256754
-20,29,59.410782
-8,10,59.522458
-13,8,59.576837
-17,16,59.66969
-9,4,59.722377
-14,18,59.861819
-15,14,59.95761
-16,26,60.17084
-10,18,60.312806
-14,13,60.398974
-13,16,60.52301
-15,8,60.587911
-13,15,60.695781
-10,5,60.747894
-9,6,60.80013
-13,15,60.899214
-11,10,60.972035
-22,19,61.064597
-15,22,61.223391
-12,13,61.319526
-18,22,61.442905
-15,12,61.545711
-12,15,61.639793
-12,15,61.768642
-10,7,61.839918
-22,23,61.951109
-13,14,62.060529
-16,17,62.187827
-13,12,62.278888
-12,9,62.365026
-11,16,62.486224
-19,18,62.573731
-10,3,62.611478
-13,16,62.742468
-18,23,62.880959
-14,11,62.966957
-11,16,63.096149
-15,18,63.212905
-7,4,63.267797
-9,13,63.376816
-13,18,63.519845
-9,12,63.645966
-10,15,63.788247
-12,9,63.860621
-10,7,63.929342
-11,12,64.034144
-11,8,64.121647
-12,12,64.205069
-13,10,64.269692
-9,2,64.301259
-12,13,64.431036
-9,16,64.603096
-14,11,64.687962
-6,7,64.774201
-19,22,64.922527
-10,15,65.065999
-11,8,65.130392
-16,27,65.324805
-18,32,65.651381
-12,11,65.80605
-21,26,66.013659
-16,13,66.109197
-17,29,66.372873
-18,17,66.520605
-12,9,66.615365
-10,9,66.704923
-8,13,66.856801
-12,13,66.98739
-10,11,67.137122
-14,7,67.284247
-9,8,67.447012
-10,11,67.562804
-12,13,67.674763
-17,26,68.012883
-12,5,68.069048
-8,10,68.207684
-11,8,68.266358
-7,8,68.342413
-11,18,68.534293
-6,9,68.632931
-8,9,68.72369
-15,20,68.965823
-12,20,69.201001
-10,14,69.344235
-8,11,69.489689
-13,8,69.585219
-10,9,69.691312
-12,11,69.884929
-10,19,70.093106
-11,16,70.273503
-10,5,70.334052
-12,13,70.45041
-13,10,70.545054
-12,16,70.686843
-9,6,70.751686
-10,9,70.857606
-8,3,70.947545
-11,14,71.105671
-15,12,71.216395
-10,11,71.29392
-18,21,71.445398
-7,16,71.573427
-4,15,71.750833
-9,15,71.877333
-16,13,71.966324
-12,5,72.005933
-9,8,72.100278
-11,4,72.143609
-10,9,72.221028
-13,12,72.306135
-11,12,72.433685
-8,5,72.516791
-12,7,72.640039
-10,7,72.722567
-11,8,72.853205
-10,15,73.000402
-8,13,73.109774
-6,11,73.223954
-10,11,73.320542
-12,9,73.395664
-10,13,73.52102
-11,10,73.620091
-10,9,73.705351
-8,11,73.810863
-10,5,73.854833
-11,8,73.911768
-10,15,74.016009
-21,24,74.211255
-11,18,74.360541
-11,2,74.391397
-13,18,74.523694
-9,11,74.61925
-8,9,74.719487
-9,2,74.752242
-7,14,74.895197
-5,6,74.963981
-7,10,75.054921
-11,12,75.143122
-7,8,75.218987
-7,18,75.37824
-8,5,75.430223
-6,5,75.488929
-8,5,75.541278
-9,10,75.634329
-9,6,75.697765
-10,13,75.80315
-10,17,75.927188
-13,12,76.018753
-7,8,76.128744
-9,12,76.247431
-8,5,76.321621
-10,9,76.39396
-10,19,76.58522
-12,17,76.70235
-8,3,76.744416
-13,8,76.810878
-15,8,76.875361
-14,13,76.940468
-8,11,77.062439
-9,10,77.161753
-10,9,77.23902
-8,7,77.32825
-7,6,77.394787
-6,5,77.464186
-10,11,77.606039
-9,2,77.649892
-8,11,77.757566
-9,8,77.857463
-11,10,77.947314
-8,11,78.056662
-11,10,78.137905
-11,25,78.332511
-10,13,78.462907
-6,13,78.604307
-8,14,78.719879
-8,3,78.761816
-11,12,78.849837
-6,11,78.952166
-9,8,79.032822
-11,4,79.066234
-8,11,79.186477
-10,7,79.249487
-8,15,79.394837
-9,10,79.489108
-8,5,79.542324
-6,9,79.64017
-10,19,79.826279
-8,9,79.90284
-8,13,80.006194
-7,8,80.088762
-9,8,80.179016
-8,5,80.23201
-10,13,80.34802
-12,13,80.444471
-8,13,80.553064
-4,9,80.649238
-8,5,80.699768
-6,7,80.76927
-6,5,80.826923
-7,6,80.89817
-6,7,80.991358
-7,4,81.039045
-6,13,81.146124
-6,7,81.217499
-7,10,81.308616
-8,5,81.368022
-9,10,81.474075
-9,4,81.523867
-12,23,81.693357
-6,13,81.837183
-7,8,81.918809
-6,9,82.007112
-5,8,82.108018
-10,15,82.265977
-9,8,82.351572
-8,13,82.458888
-6,5,82.523619
-3,12,82.648814
-7,12,82.756217
-7,4,82.811739
-6,9,82.901437
-9,2,82.9303
-8,7,83.001588
-5,6,83.070382
-9,10,83.157827
-10,15,83.296242
-9,6,83.362451
-6,13,83.480895
-10,5,83.521618
-5,10,83.619278
-8,17,83.783061
-7,8,83.860963
-5,6,83.945257
-5,10,84.041231
-7,8,84.112821
-6,9,84.197082
-9,2,84.227403
-8,5,84.275591
-9,6,84.344092
-6,11,84.45506
-9,19,84.597256
-8,11,84.713219
-4,11,84.825545
-4,9,84.924296
-6,9,85.026946
-9,14,85.119809
-7,8,85.196535
-11,8,85.259204
-9,12,85.377236
-10,3,85.408139
-9,2,85.436681
-7,6,85.504029
-8,11,85.6073
-7,4,85.655173
-4,13,85.775566
-6,15,85.90538
-6,7,85.986997
-2,11,86.103329
-4,7,86.184451
-7,6,86.241703
-7,10,86.343484
-8,9,86.423252
-8,7,86.48624
-8,5,86.547034
-2,11,86.667887
-6,7,86.749864
-5,10,86.861422
-6,5,86.930104
-6,5,86.995721
-12,9,87.089365
-8,3,87.13033
-4,11,87.246353
-10,15,87.353409
-9,12,87.453653
-7,10,87.567993
-4,13,87.689507
-8,3,87.727816
-8,5,87.785304
-5,14,87.931468
-13,24,88.117074
-4,9,88.213987
-11,10,88.294106
-6,9,88.381368
-7,4,88.436142
-5,10,88.535123
-6,5,88.597335
-7,4,88.649746
-9,4,88.694744
-9,6,88.752401
-7,8,88.834814
-7,12,88.963689
-6,11,89.068607
-5,12,89.173147
-7,6,89.231041
-6,9,89.342777
-5,10,89.438533
-7,10,89.519897
-9,6,89.590332
-4,7,89.672993
-11,16,89.795478
-9,12,89.911147
-3,8,90.004278
-14,13,90.127117
-7,12,90.235136
-4,9,90.355607
-6,5,90.414518
-3,10,90.520626
-7,8,90.608047
-10,9,90.719843
-4,7,90.799344
-4,7,90.882878
-4,15,91.020092
-3,10,91.143492
-7,12,91.243213
-3,10,91.348341
-9,6,91.398944
-8,3,91.438377
-8,9,91.533341
-6,9,91.619242
-6,11,91.722677
-5,8,91.811151
-6,11,91.939858
-8,5,92.003122
-7,14,92.135593
-8,9,92.20789
-10,13,92.33169
-10,3,92.371239
-6,5,92.428739
-7,10,92.51075
-5,10,92.608072
-7,4,92.658827
-5,12,92.773905
-8,5,92.82322
-6,5,92.887465
-6,11,92.990233
-9,12,93.092012
-5,6,93.167606
-8,3,93.208478
-6,9,93.289238
-8,3,93.326321
-5,6,93.401064
-7,20,93.567322
-8,17,93.717933
-9,10,93.787254
-10,9,93.851825
-7,16,93.997838
-4,9,94.100867
-4,11,94.204409
-7,12,94.312373
-7,8,94.404586
-6,5,94.463506
-9,12,94.564896
-7,4,94.613372
-7,10,94.708943
-6,5,94.76858
-7,12,94.866692
-8,9,94.963107
-9,12,95.05169
-8,21,95.203695
-5,6,95.274835
-7,6,95.344692
-3,12,95.47337
-5,8,95.553345
-6,7,95.628335
-6,9,95.720643
-10,23,95.890389
-6,7,95.95743
-7,6,96.020226
-9,16,96.132143
-5,6,96.201859
-9,14,96.307171
-7,8,96.387666
-10,11,96.472687
-6,13,96.578343
-7,10,96.677656
-8,11,96.794497
-9,10,96.893976
-7,6,96.953013
-9,14,97.059642
-7,6,97.122971
-7,6,97.180649
-5,8,97.263833
-8,13,97.374376
-7,4,97.42891
-7,12,97.53787
-4,9,97.643675
-9,4,97.690928
-12,15,97.787304
-4,9,97.882587
-5,6,97.952325
-6,11,98.047783
-7,18,98.214392
-7,10,98.312218
-1,12,98.459793
-7,4,98.511848
-7,6,98.580868
-8,11,98.688043
-6,5,98.748585
-9,8,98.830017
-7,4,98.879461
-7,12,99.007207
-8,17,99.17162
-5,10,99.277047
-4,11,99.394701
-6,9,99.486435
-10,15,99.596719
-7,16,99.721463
-9,8,99.795775
-5,18,99.975697
-8,17,100.114609
-4,7,100.195928
-11,18,100.317675
-5,12,100.428099
-5,8,100.507454
-8,15,100.616472
-5,16,100.775053
-5,6,100.846352
-4,11,100.962911
-4,11,101.079635
-9,4,101.121004
-5,8,101.200884
-8,3,101.243228
-6,7,101.313631
-3,10,101.435138
-9,2,101.464736
-9,8,101.554532
-8,5,101.61617
-8,5,101.685155
-6,9,101.780575
-7,6,101.842482
-9,12,101.935018
-7,4,101.983306
-7,8,102.05744
-8,9,102.158171
-8,3,102.19685
-7,12,102.313688
-5,6,102.381567
-6,11,102.493442
-6,7,102.567138
-8,9,102.645737
-10,5,102.689434
-8,13,102.797749
-9,10,102.878246
-4,11,102.983538
-9,10,103.054953
-9,2,103.085618
-6,9,103.18041
-6,7,103.252568
-4,9,103.342822
-12,21,103.478252
-5,10,103.575611
-6,9,103.658097
-7,12,103.754483
-5,6,103.823574
-7,10,103.908811
-3,10,104.031258
-7,4,104.079368
-7,14,104.220949
-6,7,104.287446
-6,5,104.344575
-13,24,104.510133
-5,6,104.579638
-6,9,104.66196
-8,3,104.704839
-5,6,104.780713
-3,8,104.883405
-5,10,104.98554
-5,8,105.067196
-7,10,105.179627
-6,7,105.251057
-7,4,105.297774
-7,6,105.374847
-4,9,105.470633
-9,12,105.567081
-8,7,105.637387
-9,2,105.667097
-7,4,105.713921
-8,11,105.807236
-5,12,105.922595
-6,9,106.004442
-9,10,106.089895
-6,9,106.173562
-6,5,106.231807
-7,4,106.282861
-7,8,106.365749
-10,15,106.511776
-7,8,106.583828
-7,8,106.6755
-10,3,106.716525
-8,5,106.767442
-10,15,106.905074
-9,2,106.938179
-7,6,107.005878
-7,10,107.09753
-7,16,107.243258
-7,6,107.306124
-7,4,107.358758
-2,9,107.482314
-6,11,107.589727
-6,5,107.649149
-7,10,107.747943
-8,7,107.835808
-8,3,107.882727
-8,15,108.01009
-4,11,108.117493
-10,9,108.193189
-7,12,108.299658
-8,7,108.377851
-7,16,108.520836
-7,14,108.636336
-8,7,108.701314
-6,11,108.800014
-3,16,108.953603
-5,10,109.060804
-6,5,109.127988
-4,7,109.213804
-8,7,109.288377
-4,7,109.372033
-7,14,109.493282
-6,5,109.555266
-12,15,109.672117
-6,9,109.759223
-6,11,109.851659
-8,5,109.90173
-7,16,110.022593
-6,9,110.115436
-9,2,110.147158
-10,5,110.188045
-2,13,110.325793
-8,11,110.4291
-2,13,110.579224
-4,7,110.67065
-8,3,110.712242
-7,8,110.803507
-9,18,110.947255
-6,7,111.032697
-5,6,111.111871
-8,11,111.214448
-7,4,111.265114
-14,19,111.380415
-6,17,111.514171
-3,10,111.635203
-6,9,111.731031
-8,5,111.791077
-8,3,111.830279
-6,9,111.915414
-6,9,112.002063
-6,5,112.062644
-9,12,112.168828
-5,6,112.244833
-10,13,112.361531
-4,13,112.499642
-6,7,112.572501
-5,8,112.668968
-7,10,112.757672
-5,12,112.869399
-3,10,112.980418
-10,15,113.091682
-5,6,113.158081
-7,8,113.231128
-7,14,113.34922
-9,10,113.444376
-4,9,113.540651
-4,7,113.620487
-11,14,113.727731
-6,7,113.798279
-6,9,113.878014
-3,8,113.982235
-5,8,114.064205
-8,7,114.133708
-8,7,114.218936
-8,7,114.288874
-5,6,114.361625
-7,16,114.485427
-5,8,114.572573
