#{"t_start": 1589052117.7249138, "env_id": null}
r,l,t
29,51,499.743705
29,51,500.56798
32,51,501.414915
32,51,502.251471
32,51,503.093116
32,51,503.937757
32,51,504.776339
29,51,505.598757
32,51,506.420271
29,51,507.21836
30,51,507.952121
32,51,508.78446
29,51,509.597008
32,51,510.44666
27,51,511.279358
32,51,512.116372
29,51,512.938306
32,51,513.778894
29,51,514.604417
32,51,515.4488
29,51,516.275248
32,51,517.116359
32,51,517.961649
29,51,518.771685
32,51,519.613807
29,51,520.439145
32,51,521.283253
29,51,522.115632
32,51,522.95905
32,51,523.807684
29,51,524.637978
27,51,525.490396
29,51,526.331818
32,51,527.165525
29,51,527.997825
32,51,528.847655
30,51,529.572162
32,51,530.408622
32,51,531.245895
29,51,532.075508
32,51,532.917362
29,51,533.747225
29,51,534.566605
32,51,535.397607
32,51,536.2493
29,51,537.058482
29,51,537.873388
32,51,538.715454
29,51,539.544021
32,51,540.381177
31,51,541.2014
29,51,542.015874
32,51,542.853495
29,51,543.672885
29,51,544.502133
32,51,545.334386
32,51,546.174847
29,51,547.005753
32,51,547.836096
32,51,548.677495
32,51,549.510847
32,51,550.354376
32,51,551.191614
31,51,552.02823
32,51,552.871319
32,51,553.710985
32,51,554.551167
29,51,555.395053
29,51,556.220009
32,51,557.061794
32,51,557.908235
32,51,558.759739
32,51,559.597197
29,51,560.420611
29,51,561.247425
29,51,562.078301
29,51,562.904853
32,51,563.7431
29,51,564.56882
32,51,565.411532
29,51,566.232853
32,51,567.079469
32,51,567.925222
32,51,568.762697
32,51,569.612055
29,51,570.437013
32,51,571.274811
29,51,572.099366
32,51,572.938933
32,51,573.782579
32,51,574.624582
32,51,575.467041
32,51,576.307222
29,51,577.131821
32,51,577.973515
32,51,578.812745
26,51,579.60772
32,51,580.449595
32,51,581.285907
32,51,582.147198
32,51,583.000273
29,51,583.825427
29,51,584.650658
29,51,585.470286
32,51,586.319147
32,51,587.144196
29,51,587.966454
32,51,588.804073
32,51,589.643435
29,51,590.450185
32,51,591.288054
29,51,592.091627
32,51,592.926808
32,51,593.764261
32,51,594.606399
32,51,595.445032
32,51,596.267922
29,51,597.114661
32,51,598.007583
29,51,599.220993
32,51,600.071588
26,51,601.280092
32,51,602.311811
32,51,603.319652
32,51,604.466763
32,51,605.606707
29,51,606.600745
5,51,607.342337
7,51,607.961025
20,51,608.709833
30,51,609.44983
22,51,610.202497
29,51,611.030907
25,51,611.814182
29,51,612.656385
32,51,613.518809
31,51,614.412809
26,51,615.213013
28,51,616.043841
29,51,616.873451
29,51,617.772345
29,51,618.634892
28,51,619.471103
28,51,620.295892
29,51,621.134077
32,51,621.975244
29,51,622.797894
29,51,623.60775
32,51,624.444084
29,51,625.281289
28,51,626.096524
32,51,626.941839
32,51,627.780273
32,51,628.622702
32,51,629.462939
26,51,630.196342
11,34,630.659132
32,51,631.48561
32,51,632.325108
29,51,633.152173
30,51,633.886277
30,51,634.609817
32,51,635.43866
32,51,636.294735
29,51,637.097805
29,51,637.922275
32,51,638.772414
32,51,639.60802
29,51,640.43478
32,51,641.274476
29,51,642.091926
32,51,642.93425
32,51,643.77074
29,51,644.595274
29,51,645.416726
32,51,646.262187
32,51,647.106237
32,51,647.942075
32,51,648.783138
29,51,649.612725
29,51,650.421939
32,51,651.26425
32,51,652.093147
32,51,652.93091
32,51,653.767302
29,51,654.580882
29,51,655.411301
32,51,656.247226
32,51,657.094284
29,51,657.920803
32,51,658.739316
32,51,659.590824
32,51,660.43448
32,51,661.288449
32,51,662.140642
32,51,662.996971
29,51,663.825133
32,51,664.671528
32,51,665.511184
29,51,666.315673
29,51,667.145439
29,51,667.963756
29,51,668.784321
29,51,669.609424
32,51,670.443428
32,51,671.284408
32,51,672.127575
32,51,672.956804
26,51,673.733188
32,51,674.567496
29,51,675.387993
29,51,676.220202
29,51,677.042048
29,51,677.863743
29,51,678.691429
29,51,679.511967
32,51,680.359414
32,51,681.256979
32,51,682.156454
29,51,682.980771
32,51,683.820025
32,51,684.662658
29,51,685.485024
32,51,686.320976
29,51,687.137807
32,51,687.970341
32,51,688.810838
32,51,689.67588
30,51,690.510912
32,51,691.345474
32,51,692.172703
32,51,693.014089
32,51,693.853932
29,51,694.664794
32,51,695.504562
29,51,696.330616
29,51,697.142068
29,51,698.006913
28,51,698.828031
32,51,699.665375
32,51,700.495964
32,51,701.346392
32,51,702.221315
32,51,703.09461
29,51,703.942928
29,51,704.781822
26,51,705.578936
29,51,706.4113
32,51,707.265231
30,51,708.108999
32,51,708.945123
29,51,709.760376
32,51,710.597871
26,51,711.390097
26,51,712.166478
29,51,713.007362
29,51,713.8364
29,51,714.654526
32,51,715.53771
26,51,716.347166
29,51,717.199175
32,51,718.093441
32,51,718.94012
29,51,719.773715
32,51,720.636945
32,51,721.480325
32,51,722.327671
27,51,723.182489
32,51,724.043107
29,51,724.895782
32,51,725.781867
29,51,726.608203
32,51,727.468365
29,51,728.320755
29,51,729.168855
26,51,729.953471
32,51,730.799684
32,51,731.65856
32,51,732.490777
29,51,733.317758
32,51,734.153378
32,51,734.997734
29,51,735.802047
32,51,736.642928
32,51,737.481577
29,51,738.308515
29,51,739.136318
32,51,739.98009
29,51,740.802877
32,51,741.63597
29,51,742.459914
29,51,743.271808
32,51,744.108101
32,51,744.946621
29,51,745.772315
32,51,746.627364
32,51,747.472218
29,51,748.301265
29,51,749.126999
32,51,749.970902
32,51,750.805828
32,51,751.646647
32,51,752.488263
32,51,753.322136
29,51,754.144664
29,51,754.962778
32,51,755.806374
29,51,756.638792
32,51,757.485339
32,51,758.344863
32,51,759.187067
32,51,760.029065
32,51,760.865493
32,51,761.720174
29,51,762.543761
32,51,763.38342
30,51,764.230929
29,51,765.054135
32,51,765.896465
32,51,766.734452
29,51,767.560042
32,51,768.417182
29,51,769.263362
29,51,770.070924
32,51,770.912945
29,51,771.733687
32,51,772.581602
29,51,773.396899
32,51,774.241025
32,51,775.079517
32,51,775.908061
32,51,776.753291
32,51,777.592856
32,51,778.434593
32,51,779.281475
32,51,780.12155
32,51,780.970875
32,51,781.812993
29,51,782.644626
32,51,783.494929
29,51,784.424169
29,51,785.274006
29,51,786.113426
23,51,786.889619
32,51,787.728174
29,51,788.553433
29,51,789.390577
32,51,790.230147
29,51,791.055991
