#{"t_start": 1589060272.3949819, "env_id": null}
r,l,t
-16,11,365.875564
-18,15,366.017649
-22,11,367.820486
-19,14,369.741454
-22,5,369.803896
-15,10,369.921499
-17,10,371.821492
-18,5,371.881291
-15,8,371.96117
-15,10,373.793245
-14,9,373.892768
-20,7,375.662031
-16,15,377.593079
-17,10,377.705514
-20,7,377.79663
-16,9,379.61998
-16,11,379.752225
-20,13,381.550082
-17,8,381.656298
-20,7,383.43109
-21,4,383.470344
-19,8,383.540281
-16,7,385.340148
-19,12,385.47647
-17,8,387.297225
-19,12,387.407301
-19,8,389.217171
-18,13,389.345526
-19,10,391.215193
-20,17,393.124049
-19,16,395.00569
-19,6,395.067242
-21,4,395.115012
-18,7,395.17292
-17,14,396.982619
-20,3,397.020888
-20,3,397.058985
-18,3,398.773222
-17,6,398.842907
-19,6,398.912121
-18,7,398.993037
-20,9,400.79734
-16,7,400.879906
-19,6,402.683042
-18,7,402.7498
-20,7,402.82231
-23,6,404.600799
-18,9,404.692969
-34,31,408.386675
-19,4,408.438373
-19,14,408.576526
-19,8,410.461827
-19,6,410.539539
-17,14,412.455608
-17,16,414.305721
-14,11,414.431655
-19,12,416.300563
-24,19,418.222014
-17,8,418.307511
-18,7,420.174219
-18,5,420.231811
-14,11,420.356139
-16,7,422.257292
-20,13,422.408279
-15,6,424.29658
-19,12,424.434792
-16,7,426.286126
-19,4,426.339028
-18,15,428.239327
-18,17,428.406452
-19,4,430.207713
-28,21,432.132506
-19,12,432.236257
-20,5,432.296703
-20,11,434.141969
-21,20,436.198048
-17,18,437.988978
-18,5,438.047643
-19,4,438.093126
-16,9,439.83058
-20,13,439.967877
-19,8,441.687473
-20,15,443.487618
-19,10,443.603125
-17,12,445.413206
-16,13,445.55471
-17,6,447.320905
-16,13,447.439892
-14,9,449.192889
-17,10,449.298605
-18,7,450.98976
-19,6,451.063369
-20,5,451.123986
-22,9,452.89958
-16,7,452.979807
-16,5,453.034081
-21,12,454.797492
-19,8,454.896093
-22,15,456.640063
-19,4,456.685654
-19,2,456.713588
-19,14,458.465656
-18,11,460.245413
-20,13,460.355803
-17,6,460.420861
-23,20,462.334557
-18,3,463.958953
-17,6,464.024696
-21,6,464.079027
-17,14,465.902467
-23,14,467.738858
-15,10,467.855085
-16,13,469.633329
-15,12,469.753783
-19,6,471.522746
-20,3,471.55937
-18,7,471.628483
-19,12,473.401018
-18,13,473.512678
-17,4,475.213466
-25,22,477.0675
-18,3,477.104467
